"Indicator Value","Indicator Type","IC Score","Associated Actors","Associated Malware","Associated Tools","Associated Campaigns","Exclusive","First Seen","Last Seen"
"remitanopc.com","FQDN","100","","","","","False","March 26, 2025","April 2, 2025"
"phantomdownload.com","FQDN","100","","","","","False","March 8, 2023","April 2, 2025"
"metamaskpc.com","FQDN","100","","","","","False","March 26, 2025","April 2, 2025"
"dk8munok987.net","FQDN","100","","","","","False","March 21, 2025","April 2, 2025"
"de26936871ebd76132bc827ea1a127d8","MD5","100","","","","","False","March 26, 2025","April 2, 2025"
"dba7bd7fc001b50966f1532db99f8582","MD5","100","","","","","False","March 26, 2025","April 2, 2025"
"c798632fcfd4d577b36ef80d636c3df9","MD5","100","","","","","False","March 26, 2025","April 2, 2025"
"c67167c4ee15c1c4b1d78b060d242c36","MD5","100","","","","","False","March 26, 2025","April 2, 2025"
"bitgetpcapp.com","FQDN","100","","","","","False","March 31, 2025","April 2, 2025"
"binancepcapps.com","FQDN","100","","","","","False","March 26, 2025","April 2, 2025"
"b914284d6d8f508f5a6d527fe5479521","MD5","100","","","","","False","March 26, 2025","April 2, 2025"
"aafbfa999babeb98a677961753bd61f5","MD5","100","","","","","False","March 26, 2025","April 2, 2025"
"875d6ab76d5b759fc6777a2d0c3b9895","MD5","100","","","","","False","March 26, 2025","April 2, 2025"
"48a23e0d0bcafa49fc1f49e68b5d35d0","MD5","100","","","","","False","March 26, 2025","April 2, 2025"
"46e78d5d2719e850e2196cdb30dcb6de","MD5","100","","","","","False","March 26, 2025","April 2, 2025"
"3483099766c6aaa7b53d9b4fe673da2c","MD5","100","","","","","False","March 26, 2025","April 2, 2025"
"2db5afc34d7e5a7af2ff11c03fd37cb1","MD5","100","","","","","False","March 26, 2025","April 2, 2025"
"tradingviewdownload.com","FQDN","100","","","","","False","March 26, 2025","April 2, 2025"
"telegramsoftwarepc.com","FQDN","100","","","","","False","March 26, 2025","April 2, 2025"
"revolutpc.com","FQDN","100","","","","","False","March 26, 2025","April 2, 2025"
"coinspotdownload.com","FQDN","100","","","","","False","March 26, 2025","April 2, 2025"
"coinspc.com","FQDN","100","","","","","False","March 26, 2025","April 2, 2025"
"bybitapps.com","FQDN","100","","","","","False","March 26, 2025","April 2, 2025"
"bitkubpc.com","FQDN","100","","","","","False","March 26, 2025","April 2, 2025"
"binancesoftwareapps.com","FQDN","100","","","","","False","March 26, 2025","April 2, 2025"
"binancesoftwareapp.com","FQDN","100","","","","","False","March 26, 2025","April 2, 2025"
"binancedownloadapps.com","FQDN","100","","","","","False","March 26, 2025","April 2, 2025"
"binancedesktoppc.com","FQDN","100","","","","","False","March 31, 2025","April 2, 2025"
"binancedesktopapps.com","FQDN","100","","","","","False","March 31, 2025","April 2, 2025"
"binanceappsoftware.com","FQDN","100","","","","","False","March 26, 2025","April 2, 2025"
"9063332c47e39cb3232d47ef19c7e067","MD5","100","","","","","False","March 26, 2025","April 2, 2025"
"7f97c7e71613c5d57875536e49bd09ce","MD5","100","","","","","False","March 31, 2025","April 2, 2025"
"5a4326392ce3fbaa9692b54cee836601","MD5","100","","","","","False","March 6, 2025","April 2, 2025"
"4d6e9bfb9752cfb71e71684628776b0d","MD5","100","","","","","False","March 26, 2025","April 2, 2025"
"2cc169fc06ffc54134f156452753f2c7","MD5","100","","","","","False","March 26, 2025","April 2, 2025"
"285a8c597b9ef848c631fa39403226ba","MD5","100","","","","","False","March 26, 2025","April 2, 2025"
"1ab23f153278b37f7385e48f301cf623","MD5","100","","","","","False","March 26, 2025","April 2, 2025"
"e8ccb69dc38f42bf9bb142c70a6353ca","MD5","100","","","","","False","March 26, 2025","April 1, 2025"